Domain Name,Domain Type,Agency,City,State
0815.at,Österreichisches E-Commerce-Gütezeichen,0815 Online Handel GmbH,,
3ppp3.at,Österreichisches E-Commerce-Gütezeichen,3 T Supplies AG /Peach Division,,
7rabbits.at,Österreichisches E-Commerce-Gütezeichen,7rabbits Handels GesmbH,,
airsoftgun.at,Österreichisches E-Commerce-Gütezeichen,8Fields Handelsgesellschaft m.b.H.,,
a-koi.at,Österreichisches E-Commerce-Gütezeichen,A-Koi Karl Wiesbauer,,
ap.co.at,Österreichisches E-Commerce-Gütezeichen,A.Pieringer Ges.m.b.H.,,
a1.net,Österreichisches E-Commerce-Gütezeichen,A1 Telekom Austria AG,,
abaton.at,Österreichisches E-Commerce-Gütezeichen,ABATON EDV - Dienstleistungs GmbH,,
immodirekt.at,Österreichisches E-Commerce-Gütezeichen,AGIRE Handels- und Werbeges. mbH,,
as-garten.at,Österreichisches E-Commerce-Gütezeichen,Ahrens + Sieberz GmbH & Co KG,,
powerworx.net,Österreichisches E-Commerce-Gütezeichen,Alexander Frühwirth,,
gpticketshop.com,Österreichisches E-Commerce-Gütezeichen,Alfred Ostermann GmbH,,
alleskueche.com,Österreichisches E-Commerce-Gütezeichen,Alles Küche GmbH,,
astro.co.at,Österreichisches E-Commerce-Gütezeichen,Astro Handels GesmbH,,
apotheke-oesterreich.at,Österreichisches E-Commerce-Gütezeichen,Austria Versandapotheken s.r.o.,,
axbo.at,Österreichisches E-Commerce-Gütezeichen,aXbo Limited,,
b-w.at,Österreichisches E-Commerce-Gütezeichen,B&W TechComp Handels GmbH,,
baby-markt.at,Österreichisches E-Commerce-Gütezeichen,Babymarkt.de GmbH,,
ballettboutique.at,Österreichisches E-Commerce-Gütezeichen,Ballettboutique Arabesque,,
udobaer.at,Österreichisches E-Commerce-Gütezeichen,BÄR & Partner Betriebseinrichtungen GmbH & Co. KG.,,
bechtle.at,Österreichisches E-Commerce-Gütezeichen,Bechtle Direkt GmbH,,
bhb-partner.com,Österreichisches E-Commerce-Gütezeichen,BHB-Partner e.U.,,
brillenladen.de,Österreichisches E-Commerce-Gütezeichen,Bieberer Brillenladen GmbH,,
bikemore.at,Österreichisches E-Commerce-Gütezeichen,Bike+More Handelsges.m.b.H.,,
