Domain Name,Domain Type,Agency,City,State
0815.at,Österreichisches E-Commerce-Gütezeichen,0815 Online Handel GmbH,,
1-2-fly.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
1ashop.at,Österreichisches E-Commerce-Gütezeichen,Primus office products GmbH,,
1net.at,Österreichisches E-Commerce-Gütezeichen,Mag. Robert Wrabl,,
3ppp3.at,Österreichisches E-Commerce-Gütezeichen,3 T Supplies AG /Peach Division,,
7rabbits.at,Österreichisches E-Commerce-Gütezeichen,7rabbits Handels GesmbH,,
a1.net,Österreichisches E-Commerce-Gütezeichen,A1 Telekom Austria AG,,
abaton.at,Österreichisches E-Commerce-Gütezeichen,ABATON EDV - Dienstleistungs GmbH,,
airsoftgun.at,Österreichisches E-Commerce-Gütezeichen,8Fields Handelsgesellschaft m.b.H.,,
a-koi.at,Österreichisches E-Commerce-Gütezeichen,A-Koi Karl Wiesbauer,,
alleskueche.com,Österreichisches E-Commerce-Gütezeichen,Alles Küche GmbH,,
ap.co.at,Österreichisches E-Commerce-Gütezeichen,A.Pieringer Ges.m.b.H.,,
apotheke-oesterreich.at,Österreichisches E-Commerce-Gütezeichen,Austria Versandapotheken s.r.o.,,
aquaristikshop.de,Österreichisches E-Commerce-Gütezeichen,Happy Diskus,,
as-garten.at,Österreichisches E-Commerce-Gütezeichen,Ahrens + Sieberz GmbH & Co KG,,
astro.co.at,Österreichisches E-Commerce-Gütezeichen,Astro Handels GesmbH,,
atte.at,Österreichisches E-Commerce-Gütezeichen,Humann OEG,,
AustrianSupermarket.com,Österreichisches E-Commerce-Gütezeichen,Consus Handels GmbH,,
axbo.at,Österreichisches E-Commerce-Gütezeichen,aXbo Limited,,
baby-markt.at,Österreichisches E-Commerce-Gütezeichen,Babymarkt.de GmbH,,
ballettboutique.at,Österreichisches E-Commerce-Gütezeichen,Ballettboutique Arabesque,,
bankaustria.at,Österreichisches E-Commerce-Gütezeichen,UniCredit Bank Austria,,
beamer.at,Österreichisches E-Commerce-Gütezeichen,projektor.at Präsentationstechnik GmbH,,
bechtle.at,Österreichisches E-Commerce-Gütezeichen,Bechtle Direkt GmbH,,
bhb-partner.com,Österreichisches E-Commerce-Gütezeichen,BHB-Partner e.U.,,
bikemore.at,Österreichisches E-Commerce-Gütezeichen,Bike+More Handelsges.m.b.H.,,
bikepalast.com,Österreichisches E-Commerce-Gütezeichen,THEMA:bike GmbH.,,
bikepirat.at,Österreichisches E-Commerce-Gütezeichen,bikepirat GmbH,,
bikini-und-co.com,Österreichisches E-Commerce-Gütezeichen,Wellbeing & Co Handels GmbH,,
billigweg.at,Österreichisches E-Commerce-Gütezeichen,billigweg.at Reisen GmbH,,
Biohort.com,Österreichisches E-Commerce-Gütezeichen,Biohort Handel GmbH,,
blue-tomato.com,Österreichisches E-Commerce-Gütezeichen,Blue Tomato GmbH,,
blumen.at,Österreichisches E-Commerce-Gütezeichen,Blumengarten Werner Buchner e.U.,,
blumenpapa.at,Österreichisches E-Commerce-Gütezeichen,Blumen Krismer,,
boesner.at,Österreichisches E-Commerce-Gütezeichen,boesner GmbH & Co KG,,
bogentandler.at,Österreichisches E-Commerce-Gütezeichen,Bogentandler.at e.U,,
brands4friends.at,Österreichisches E-Commerce-Gütezeichen,Private Sale GmbH,,
briefmarkenshop.at,Österreichisches E-Commerce-Gütezeichen,Merkurphila GmbH,,
brillenladen.de,Österreichisches E-Commerce-Gütezeichen,Bieberer Brillenladen GmbH,,
budo-shop.net,Österreichisches E-Commerce-Gütezeichen,Bushido Lubwart Bad Liebenwerda e.V.,,
b-w.at,Österreichisches E-Commerce-Gütezeichen,B&W TechComp Handels GmbH,,
carat-online.at,Österreichisches E-Commerce-Gütezeichen,Carat-Edelsteinhandel e.U.,,
cardcomplete.com,Österreichisches E-Commerce-Gütezeichen,card complete Service Bank AG,,
casinos.at,Österreichisches E-Commerce-Gütezeichen,Casinos Austria AG,,
ceratrends.com,Österreichisches E-Commerce-Gütezeichen,Ceratrends GmbH,,
certeo.at,Österreichisches E-Commerce-Gütezeichen,Certeo Business Equipment GmbH,,
cls.at,Österreichisches E-Commerce-Gütezeichen,CLS IT Infrastruktur und Distribution GmbH,,
colgoto.com,Österreichisches E-Commerce-Gütezeichen,Hosiery GmbH,,
computeruniverse.net,Österreichisches E-Commerce-Gütezeichen,computeruniverse.net GmbH,,
comrade.net,Österreichisches E-Commerce-Gütezeichen,Inh. Ratzinger Michael (COMRADE),,
comstern.at,Österreichisches E-Commerce-Gütezeichen,ComStern.at GmbH,,
comstern.de,Österreichisches E-Commerce-Gütezeichen,ComStern.de GmbH,,
conrad.at,Österreichisches E-Commerce-Gütezeichen,Conrad Electronic GmbH und Co.KG,,
courseticket.com,Österreichisches E-Commerce-Gütezeichen,courseticket GmbH,,
creditnet.at,Österreichisches E-Commerce-Gütezeichen,Immoinvest Immobilien & Finanzierungen GmbH,,
cyberport.at,Österreichisches E-Commerce-Gütezeichen,Cyberport GmbH,,
di-life.at,Österreichisches E-Commerce-Gütezeichen,JÜMI Handels GmbH,,
diskontcomputer.com,Österreichisches E-Commerce-Gütezeichen,DC diskontcomputer.com GmbH,,
ditech.at,Österreichisches E-Commerce-Gütezeichen,DiTech Electronic GmbH,,
dorotheum-juwelier.com,Österreichisches E-Commerce-Gütezeichen,Dorotheum GmbH & CO KG,,
douglas.at,Österreichisches E-Commerce-Gütezeichen,Parfümerie Douglas GmbH,,
dream-shop.at,Österreichisches E-Commerce-Gütezeichen,Thomas Kitzler,,
drei.at,Österreichisches E-Commerce-Gütezeichen,Hutchison Drei Austria GmbH,,
druck.at,Österreichisches E-Commerce-Gütezeichen,druck.at Druck- und Handelsgesellschaft mbH,,
durchblicker.at,Österreichisches E-Commerce-Gütezeichen,YOUSURE Tarifvergleich GmbH,,
ebags.mondigroup.com,Österreichisches E-Commerce-Gütezeichen,Mondi Industrial Bags GmbH,,
edustore.at,Österreichisches E-Commerce-Gütezeichen,edustore gmbh,,
