# Source: Handelsverband Österreich | Austrian Retail Association, answered on 2016-12-06: https://www.handelsverband.at/mitglieder-partner/mitglieder/,,
3pagen.at,Handelsverband Österreich | Austrian Retail Association,3 Pagen Versand und Handelsgesellschaft GmbH,,
hausmann.at,Handelsverband Österreich | Austrian Retail Association,A. Hausmann GmbH,,
amc.at,Handelsverband Österreich | Austrian Retail Association,AMC Österreichische Handelsgesellschaft m.b.H.,,
arp.com,Handelsverband Österreich | Austrian Retail Association,ARP GmbH,,
ateliergs.at,Handelsverband Österreich | Austrian Retail Association,Atelier Goldner Schnitt Handelsges.m.b.H.,,
bader.at,Handelsverband Österreich | Austrian Retail Association,BADER-Versand GesmbH,,
sochor.at,Handelsverband Österreich | Austrian Retail Association,Baustoffhandel A. Sochor & Co GmbH; Baustoffe und Fliesen im Zentrum,,
handelsverband.users.aboliton.at,Handelsverband Österreich | Austrian Retail Association,bellaflora Gartencenter GmbH,,
bestsecret.com,Handelsverband Österreich | Austrian Retail Association,Best Secret GmbH,,
bestseller.com,Handelsverband Österreich | Austrian Retail Association,Bestseller Retail A Einzelhandels GmbH,,
boesner.at,Handelsverband Österreich | Austrian Retail Association,boesner Gmbh & Co KG,,
brigitte-salzburg.at,Handelsverband Österreich | Austrian Retail Association,Brigitte Exklusiv GmbH,,
handelsverband.users.aboliton.at,Handelsverband Österreich | Austrian Retail Association,C & A Mode Ges.m.b.H. & Co. KG,,
charlesvoegele.at,Handelsverband Österreich | Austrian Retail Association,Charles Vögele (Austria) GmbH,,
prokopp.co.at,Handelsverband Österreich | Austrian Retail Association,Christian Prokopp GmbH,,
conrad.at,Handelsverband Österreich | Austrian Retail Association,Conrad Electronic GmbH & Co KG,,
dasfutterhaus.at,Handelsverband Österreich | Austrian Retail Association,Das Futterhaus - Österreich Franchise GmbH & Co KG,,
deichmann.at,Handelsverband Österreich | Austrian Retail Association,Deichmann Schuhvertriebsges.m.b.H,,
dekoster.at,Handelsverband Österreich | Austrian Retail Association,dekoster GmbH,,
dorotheum.com,Handelsverband Österreich | Austrian Retail Association,Dorotheum GmbH & Co KG,,
eduscho.at,Handelsverband Österreich | Austrian Retail Association,Eduscho (Austria) GmbH,,
enjo.net,Handelsverband Österreich | Austrian Retail Association,ENJO INTERNATIONAL GMBH,,
ernstings-family.at,Handelsverband Österreich | Austrian Retail Association,Ernstings family GmbH & Co. KG,,
erwinmueller.at,Handelsverband Österreich | Austrian Retail Association,Erwin Müller Versandhaus GmbH/Baby Butt - KINDBERBUTT - Erwin Müller,,
expert.at,Handelsverband Österreich | Austrian Retail Association,EXPERT Österreich e.Gen.,,
fielmann.at,Handelsverband Österreich | Austrian Retail Association,Fielmann GmbH,,
forstinger.com,Handelsverband Österreich | Austrian Retail Association,Forstinger Österreich GmbH,,
soliver.at,Handelsverband Österreich | Austrian Retail Association,Freier Group Austria GmbH,,
fressnapf.at,Handelsverband Österreich | Austrian Retail Association,Fressnapf Handels GmbH,,
bakker.at,Handelsverband Österreich | Austrian Retail Association,Gartenversand Ges.m.b.H.,,
heinemann-dutyfree.com,Handelsverband Österreich | Austrian Retail Association,Gebr. Heinemann Wien GmbH,,
gebrueder-goetz.de,Handelsverband Österreich | Austrian Retail Association,Gebrüder Götz,,
hartlauer.at,Handelsverband Österreich | Austrian Retail Association,Hartlauer Handelsgesellschaft m.b.H,,
heine.at,Handelsverband Österreich | Austrian Retail Association,Heinrich Heine Ges.mbH,,
schneider-online.com,Handelsverband Österreich | Austrian Retail Association,Heinrich Schneider HandelsgmbH,,
hofer.at,Handelsverband Österreich | Austrian Retail Association,Hofer KG,,
hse24.at,Handelsverband Österreich | Austrian Retail Association,Home Shopping Europe (HSE) GmbH,,
hornbach.at,Handelsverband Österreich | Austrian Retail Association,Hornbach Baumarkt GmbH,,
hotelwaesche.at,Handelsverband Österreich | Austrian Retail Association,Hotelwäsche Erwin Müller GmbH & Co KG,,
hubershop.at,Handelsverband Österreich | Austrian Retail Association,Huber Shop GmbH,,
IKEA.at,Handelsverband Österreich | Austrian Retail Association,IKEA Austria GmbH,,
jm-offner.at,Handelsverband Österreich | Austrian Retail Association,J.M. Offner Handels GmbH,,
jafra.at,Handelsverband Österreich | Austrian Retail Association,Jafra Cosmetics GmbH & Co. KG,,
jako-o.at,Handelsverband Österreich | Austrian Retail Association,JAKO-O GmbH,,
meinlamgraben.at,Handelsverband Österreich | Austrian Retail Association,Julius Meinl am Graben GmbH,,
www.klingel.at,Handelsverband Österreich | Austrian Retail Association,K-Mail Order GmbH & Co.KG,,
kaiserkraft.at,Handelsverband Österreich | Austrian Retail Association,KAISER + KRAFT GmbH,,
