Domain Name,Domain Type,Agency,City,State
www.0815.at,Österreichisches E-Commerce-Gütezeichen,0815 Online Handel GmbH,,
www.3ppp3.at,Österreichisches E-Commerce-Gütezeichen,3 T Supplies AG /Peach Division,,
www.7rabbits.at,Österreichisches E-Commerce-Gütezeichen,7rabbits Handels GesmbH,,
www.airsoftgun.at,Österreichisches E-Commerce-Gütezeichen,8Fields Handelsgesellschaft m.b.H.,,
www.a-koi.at,Österreichisches E-Commerce-Gütezeichen,A-Koi Karl Wiesbauer,,
www.ap.co.at,Österreichisches E-Commerce-Gütezeichen,A.Pieringer Ges.m.b.H.,,
www.a1.net/shop,Österreichisches E-Commerce-Gütezeichen,A1 Telekom Austria AG,,
www.abaton.at,Österreichisches E-Commerce-Gütezeichen,ABATON EDV - Dienstleistungs GmbH,,
www.immodirekt.at,Österreichisches E-Commerce-Gütezeichen,AGIRE Handels- und Werbeges. mbH,,
www.as-garten.at,Österreichisches E-Commerce-Gütezeichen,Ahrens + Sieberz GmbH & Co KG,,
www.powerworx.net,Österreichisches E-Commerce-Gütezeichen,Alexander Frühwirth,,
www.gpticketshop.com,Österreichisches E-Commerce-Gütezeichen,Alfred Ostermann GmbH,,
www.alleskueche.com,Österreichisches E-Commerce-Gütezeichen,Alles Küche GmbH,,
www.astro.co.at,Österreichisches E-Commerce-Gütezeichen,Astro Handels GesmbH,,
www.apotheke-oesterreich.at,Österreichisches E-Commerce-Gütezeichen,Austria Versandapotheken s.r.o.,,
www.axbo.at,Österreichisches E-Commerce-Gütezeichen,aXbo Limited,,
www.b-w.at,Österreichisches E-Commerce-Gütezeichen,B&W TechComp Handels GmbH,,
www.baby-markt.at,Österreichisches E-Commerce-Gütezeichen,Babymarkt.de GmbH,,
www.ballettboutique.at,Österreichisches E-Commerce-Gütezeichen,Ballettboutique Arabesque,,
www.udobaer.at,Österreichisches E-Commerce-Gütezeichen,BÄR & Partner Betriebseinrichtungen GmbH & Co. KG.,,
www.bechtle.at,Österreichisches E-Commerce-Gütezeichen,Bechtle Direkt GmbH,,
www.bhb-partner.com,Österreichisches E-Commerce-Gütezeichen,BHB-Partner e.U.,,
www.brillenladen.de,Österreichisches E-Commerce-Gütezeichen,Bieberer Brillenladen GmbH,,
www.bikemore.at,Österreichisches E-Commerce-Gütezeichen,Bike+More Handelsges.m.b.H.,,
www.bikepirat.at,Österreichisches E-Commerce-Gütezeichen,bikepirat GmbH,,
shop.billa.at,Österreichisches E-Commerce-Gütezeichen,BILLA AG,,
www.billigweg.at,Österreichisches E-Commerce-Gütezeichen,billigweg.at Reisen GmbH,,
www.Biohort.com/shop,Österreichisches E-Commerce-Gütezeichen,Biohort Handel GmbH,,
www.blue-tomato.com/de-AT/,Österreichisches E-Commerce-Gütezeichen,Blue Tomato GmbH,,
www.blumenpapa.at,Österreichisches E-Commerce-Gütezeichen,Blumen Krismer,,
www.blumen.at,Österreichisches E-Commerce-Gütezeichen,Blumengarten Werner Buchner e.U.,,
www.boesner.at,Österreichisches E-Commerce-Gütezeichen,boesner GmbH & Co KG,,
www.bogentandler.at,Österreichisches E-Commerce-Gütezeichen,Bogentandler.at e.U,,
www.budo-shop.net,Österreichisches E-Commerce-Gütezeichen,Bushido Lubwart Bad Liebenwerda e.V.,,
www.carat-online.at,Österreichisches E-Commerce-Gütezeichen,Carat-Edelsteinhandel e.U.,,
www.cardcomplete.com,Österreichisches E-Commerce-Gütezeichen,card complete Service Bank AG,,
www.casinos.at,Österreichisches E-Commerce-Gütezeichen,Casinos Austria AG,,
gutscheine.casinos.at,Österreichisches E-Commerce-Gütezeichen,Casinos Austria AG,,
www.ceratrends.com,Österreichisches E-Commerce-Gütezeichen,Ceratrends GmbH,,
www.certeo.at,Österreichisches E-Commerce-Gütezeichen,Certeo Business Equipment GmbH,,
www.cls.at,Österreichisches E-Commerce-Gütezeichen,CLS IT Infrastruktur und Distribution GmbH,,
www.computeruniverse.net,Österreichisches E-Commerce-Gütezeichen,computeruniverse.net GmbH,,
www.comstern.at,Österreichisches E-Commerce-Gütezeichen,ComStern.at GmbH,,
www.comstern.de,Österreichisches E-Commerce-Gütezeichen,ComStern.de GmbH,,
www.conrad.at,Österreichisches E-Commerce-Gütezeichen,Conrad Electronic GmbH und Co.KG,,
www.AustrianSupermarket.com,Österreichisches E-Commerce-Gütezeichen,Consus Handels GmbH,,
www.courseticket.com,Österreichisches E-Commerce-Gütezeichen,courseticket GmbH,,
www.cyberport.at,Österreichisches E-Commerce-Gütezeichen,Cyberport GmbH,,
www.sitzen.at,Österreichisches E-Commerce-Gütezeichen,David Gaind - Gesunde Sitzmöbel Vertriebs GmbH,,
www.swopper-sitzen.at,Österreichisches E-Commerce-Gütezeichen,David Gaind - Gesunde Sitzmöbel Vertriebs GmbH,,
www.diskontcomputer.com,Österreichisches E-Commerce-Gütezeichen,DC diskontcomputer.com GmbH,,
www.reifendirekt.at,Österreichisches E-Commerce-Gütezeichen,Delticom AG,,
www.fell-shop.com,Österreichisches E-Commerce-Gütezeichen,Der Fellhof VertriebsGmbH,,
www.ditech.at,Österreichisches E-Commerce-Gütezeichen,DiTech Electronic GmbH,,
www.tauchversand.com,Österreichisches E-Commerce-Gütezeichen,Divestore-Mailorder u.Service GmbH,,
www.dorotheum-juwelier.com,Österreichisches E-Commerce-Gütezeichen,Dorotheum GmbH & CO KG,,
www.druck.at,Österreichisches E-Commerce-Gütezeichen,druck.at Druck- und Handelsgesellschaft mbH,,
www.e-tec.at,Österreichisches E-Commerce-Gütezeichen,e-tec electronic GmbH,,
www.naehprinz.at,Österreichisches E-Commerce-Gütezeichen,E. & F. Pflänzel GmbH,,
www.haus-der-sprachen.at,Österreichisches E-Commerce-Gütezeichen,e8 medien marketing e.U.,,
www.kettner.com,Österreichisches E-Commerce-Gütezeichen,Eduard Kettner GmbH,,
www.edustore.at,Österreichisches E-Commerce-Gütezeichen,edustore gmbh,,
www.edv-oase.at,Österreichisches E-Commerce-Gütezeichen,EDV-OASE e.U.; Ing. Manuela Katharina Wiesmayer,,
www.physiotron.cc,Österreichisches E-Commerce-Gütezeichen,EFP Elektronik GmbH,,
www.physiovital.cc,Österreichisches E-Commerce-Gütezeichen,EFP Elektronik GmbH,,
www.egardia.com,Österreichisches E-Commerce-Gütezeichen,Egardia b.v.,,
www.eheim-service.at,Österreichisches E-Commerce-Gütezeichen,Eheim-Service-Österreich,,
www.helishopvienna.at,Österreichisches E-Commerce-Gütezeichen,EKo-Trade,,
www.electronic4you.at,Österreichisches E-Commerce-Gütezeichen,electronic4you GmbH,,
www.lichtfuermich.at,Österreichisches E-Commerce-Gütezeichen,Elektrotechnik Tamas Lagler,,
www.stromdiskont.at,Österreichisches E-Commerce-Gütezeichen,ENAMO Ökostrom GmbH,,
www.energiepflanzen.com,Österreichisches E-Commerce-Gütezeichen,energiepflanzen.com; Reinhard Sperr,,
www.ergodirekt.at,Österreichisches E-Commerce-Gütezeichen,ERGO Versicherung AG,,
www.eti.at,Österreichisches E-Commerce-Gütezeichen,ETI Express Travel International GmbH,,
www.europaeische.at,Österreichisches E-Commerce-Gütezeichen,Europäische Reiseversicherung AG,,
www.eventlights.at,Österreichisches E-Commerce-Gütezeichen,Eventlights Austria Thomas Gattinger,,
www.everbill.com,Österreichisches E-Commerce-Gütezeichen,everbill GmbH,,
